,X,Y,labels,district
556,-38.500187,23.216288,0,1000033
557,-38.500187,23.216288,0,1000033
558,-38.500187,23.216288,0,1000033
559,-38.500187,23.216288,0,1000033
560,-38.500187,23.216288,0,1000033
561,-38.500187,23.216288,0,1000033
562,-38.500187,23.216288,0,1000033
563,-38.500187,23.216288,0,1000033
564,-38.500187,23.216288,0,1000033
565,-38.500187,23.216288,0,1000033
566,-38.500187,23.216288,0,1000033
567,-2.5370255,-24.926464,0,1000034
568,-2.5370252,-24.926464,0,1000034
569,-1.0222688,-24.29048,0,1000034
570,-2.5370255,-24.926464,0,1000034
571,-2.5370255,-24.926464,0,1000034
572,-2.5370255,-24.926464,0,1000034
573,-2.5370255,-24.926462,0,1000034
574,-2.5370252,-24.926464,0,1000034
575,-2.5370255,-24.926462,0,1000034
576,-2.5370255,-24.926462,0,1000034
577,-2.5370255,-24.926462,0,1000034
578,-2.5370255,-24.926462,0,1000034
579,-2.5370255,-24.926464,0,1000034
580,-2.5370252,-24.926464,0,1000034
581,-2.5370252,-24.926464,0,1000034
582,-2.5370252,-24.926464,0,1000034
583,-2.5370255,-24.926464,0,1000034
584,-2.5233655,-24.923044,0,1000034
585,-2.5370255,-24.926464,0,1000034
586,-2.5370255,-24.926462,0,1000034
